,cumrets
2006-04-25 00:00:00,1.052563340254957
2006-04-26 00:00:00,1.0527493383712772
2006-04-27 00:00:00,1.0559113063487175
2006-05-02 00:00:00,1.062254236457526
2006-05-03 00:00:00,1.0590827714031219
2006-05-04 00:00:00,1.0641198041365874
2006-05-05 00:00:00,1.0730745289960819
2006-05-08 00:00:00,1.0741938696035185
2006-05-09 00:00:00,1.0740073128356122
2006-05-10 00:00:00,1.0725148586923632
2006-05-11 00:00:00,1.0587096578673092
2006-05-12 00:00:00,1.0445313435064432
2006-05-15 00:00:00,1.0456506841138797
2006-05-16 00:00:00,1.0422926622915694
2006-05-17 00:00:00,1.0232638719651439
2006-05-18 00:00:00,1.0185999527674905
2006-05-19 00:00:00,1.0241966558046744
2006-05-22 00:00:00,1.0182268392316782
