,cumrets
2006-04-25 00:00:00,1.0289929896021792
2006-04-26 00:00:00,1.0289542981393471
2006-04-27 00:00:00,1.0319882221764987
2006-05-02 00:00:00,1.0366637033530097
2006-05-03 00:00:00,1.0341631629190093
2006-05-04 00:00:00,1.0372280378006269
2006-05-05 00:00:00,1.0438765994162149
2006-05-08 00:00:00,1.0447687195603175
2006-05-09 00:00:00,1.0445386329467612
2006-05-10 00:00:00,1.0437290057280286
2006-05-11 00:00:00,1.0341371226138829
2006-05-12 00:00:00,1.0235966667353902
2006-05-15 00:00:00,1.0250314530319757
2006-05-16 00:00:00,1.0241458909028607
2006-05-17 00:00:00,1.0107706467563067
2006-05-18 00:00:00,1.0101738098659878
2006-05-19 00:00:00,1.0136033448967845
2006-05-22 00:00:00,1.0102020361761097
